***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  NEWAVE - 30.0.1              *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

 PMO - AGOSTO - 2024 - sombra Hibrido - NW Versao 29.4                           
____________________________________________________________________


---------------------------------------------------------------------------------
Relatorio de dados para a modelagem da funcao de producao das usinas hidroeletricas
---------------------------------------------------------------------------------
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
USIH;IPER;    Nome     ;      Opcoes    ;;;;     Discretiz. Q    ;;;    Discretiz. V     ;;;    Janela GH   ;;
  - ;    ;     -       ;Tipo;Conv;Alfa;Rems; Npt ;   Qmin ;  Qmax  ; Npt ;  Vmin  ;  Vmax  ;  GHmin ; GHmax  ;
  - ;    ;             ;    ;    ;    ;    ;     ; (m3/s) ; (m3/s) ;     ; (hm3)  ; (hm3)  ;  (MW)  ;  (MW)  ;
----;----;-------------;----;----;----;----;-----;--------;--------;-----;--------;--------;--------;--------;
 114;   8; D. FRANCISCA;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   369.5;    1;   320.4;   320.4;     0.0;   125.0;
 115;   8; G.P. SOUZA  ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;    40.3;    5;    23.0;   179.0;     0.0;   260.0;
 119;   8; HENRY BORDEN;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   156.5;    1;     0.5;     0.5;     0.0;   889.0;
 120;   8; JAGUARI     ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;    56.5;    5;   443.0;  1236.0;     0.0;    27.6;
 121;   8; PARAIBUNA   ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   126.4;    5;  2096.0;  4732.0;     0.0;    87.0;
 122;   8; SANTA BRANCA;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   131.3;    5;   131.0;   439.0;     0.0;    56.0;
 123;   8; FUNIL       ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   335.6;    5;   283.0;   888.0;     0.0;   216.0;
 126;   8; PICADA      ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;    43.3;    1;     6.9;     6.9;     0.0;    50.0;
 127;   8; SOBRAGI     ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;    83.8;    1;     0.1;     0.1;     0.0;    60.0;
 129;   8; SIMPLICIO   ;  2 ;  1 ;  1 ;  0 ;    5;     0.0;   305.8;    1;    13.5;    13.5;     0.0;   305.7;
