data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2024-11-01,UFV,SUDESTE,2,1572.0,1.474,2317.128,2317.0,2317.0,0.0
2024-12-01,UFV,SUDESTE,2,1408.0,1.483,2088.0640000000003,2088.0,2088.0,0.0
2025-01-01,UFV,SUDESTE,2,1464.0,1.5091,2209.3224,2209.0,2209.0,0.0
2025-02-01,UFV,SUDESTE,2,1596.0,1.4726,2350.2695999999996,2350.0,2350.0,0.0
2025-03-01,UFV,SUDESTE,2,1618.0,1.6286,2635.0748,2635.0,2635.0,0.0
2025-04-01,UFV,SUDESTE,2,1568.0,1.5833,2482.6144,2483.0,2483.0,0.0
2025-05-01,UFV,SUDESTE,2,1697.0,1.8842,3197.4874,3197.0,3197.0,0.0
2025-06-01,UFV,SUDESTE,2,1564.0,2.0251,3167.2564,3167.0,3167.0,0.0
2025-07-01,UFV,SUDESTE,2,1722.0,1.8818,3240.4595999999997,3240.0,3240.0,0.0
2025-08-01,UFV,SUDESTE,2,1811.0,1.9251,3486.3561,3486.0,3486.0,0.0
2025-09-01,UFV,SUDESTE,2,2295.0,1.6027,3678.1965,3678.0,3678.0,0.0
2025-10-01,UFV,SUDESTE,2,2144.0,1.575,3376.7999999999997,3377.0,3377.0,0.0
2025-11-01,UFV,SUDESTE,2,2306.0,1.473,3396.7380000000003,3397.0,3397.0,0.0
2025-12-01,UFV,SUDESTE,2,2051.0,1.4764,3028.0964,3028.0,3028.0,0.0
2026-01-01,UFV,SUDESTE,2,2075.0,1.5146,3142.795,3143.0,3143.0,0.0
2026-02-01,UFV,SUDESTE,2,2173.0,1.4812,3218.6476000000002,3219.0,3219.0,0.0
2026-03-01,UFV,SUDESTE,2,2141.0,1.6111,3449.3651,3449.0,3449.0,0.0
2026-04-01,UFV,SUDESTE,2,1901.0,1.5827,3008.7127,3009.0,3009.0,0.0
2026-05-01,UFV,SUDESTE,2,1916.0,1.8948,3630.4368,3630.0,3630.0,0.0
2026-06-01,UFV,SUDESTE,2,1763.0,2.004,3533.052,3533.0,3533.0,0.0
